cliente_id;nome;cpf;data_nascimento;score_credito;renda_mensal;estado;data_cadastro
30;Julia Porto;301.865.492-70;1989-05-21;659;6247.55;RS;2022-08-16
31;Zoe Aparecida;523.907.641-34;1988-01-12;562;4310.34;RJ;2022-04-22
32;Gabriela Azevedo;640.381.795-75;1988-08-07;487;2699.79;RJ;2023-02-18
33;Rodrigo Mendes;937.168.250-77;2004-01-07;717;7092.24;PR;2023-07-18
34;Mariane Aparecida;168.254.790-67;1998-01-27;611;5891.53;BA;2021-11-30
35;Raul Martins;951.243.678-73;1980-06-10;663;4658.88;BA;2022-12-29
36;Dra. Ana Carolina Rocha;034.287.956-10;1996-10-16;663;6842.04;RS;2024-10-04
37;Bárbara Nunes;861.745.309-57;1977-04-09;615;6484.64;PR;2024-12-08
38;Yuri Vasconcelos;264.103.985-06;1958-02-04;305;3261.9;RJ;2024-06-01
39;Maria Júlia Garcia;093.245.687-10;1969-11-03;630;4740.99;MG;2023-12-30
40;Daniel Correia;427.650.381-71;2002-10-25;631;3060.43;RS;2021-12-01
41;Bárbara Correia;014.236.795-80;2000-06-21;593;5101.11;GO;2023-02-17
42;Lucas Moraes;038.751.926-21;1987-08-09;797;5857.73;PR;2024-08-03
43;Gael Montenegro;931.085.462-60;1992-03-28;522;3674.24;PE;2022-03-26
44;Bárbara Rezende;751.362.049-07;1981-05-12;729;6160.75;BA;2021-04-25
45;Mariane Novais;061.382.497-04;1982-09-30;556;4961.27;RS;2021-03-07
46;Anthony Casa Grande;874.692.150-85;2004-05-29;631;6016.64;BA;2023-04-02
47;Otto Santos;930.172.456-16;1995-12-06;535;3952.34;PR;2021-05-16
48;Cecília Andrade;984.623.501-15;1968-03-14;572;3112.49;RS;2024-03-07
49;Bryan Aragão;576.420.913-70;1957-02-17;655;5501.06;BA;2022-03-12
50;Lorena Ramos;759.420.386-00;1956-07-18;620;4725.41;GO;2023-03-22
51;Srta. Maria Júlia Souza;672.905.134-52;2001-12-19;450;3179.35;GO;2021-10-20
52;Arthur Gabriel Farias;286.947.150-58;1995-08-12;578;3821.72;PR;2021-10-13
53;Sra. Catarina Sousa;617.034.528-44;1971-08-16;600;5204.05;RS;2024-02-24
54;Luara Viana;682.137.045-17;1986-08-29;846;6942.58;PE;2022-06-23
55;Thiago Vieira;562.430.189-89;1983-03-31;650;5125.55;CE;2023-05-28
56;Maria Clara Pastor;489.173.602-03;1955-07-25;389;3085.49;CE;2023-03-29
57;Helena da Cruz;597.042.168-58;1965-11-05;627;7479.24;BA;2022-03-26
58;Vitor Garcia;940.731.285-23;1964-03-18;596;5069.55;MG;2023-11-10
59;Rael Ramos;812.409.365-24;1956-04-16;615;3751.32;GO;2021-07-06
60;Sra. Maria Clara Duarte;051.423.976-06;2002-01-09;757;6807.93;SP;2021-08-13
61;Diogo Santos;296.415.078-85;1995-08-01;714;4802.61;MG;2024-07-09
62;Noah Pires;431.708.256-07;1975-05-10;788;4902.15;MG;2024-10-25
63;Henry Porto;291.073.645-80;1986-02-01;690;7710.46;SC;2024-05-06
64;Brayan Vasconcelos;216.548.073-62;1985-04-15;501;3441.7;RJ;2023-02-28
65;Enzo Cavalcante;981.042.367-50;1982-04-02;631;4544.52;SC;2024-05-05
66;Clara Cassiano;683.291.504-70;1961-07-31;433;3532.56;GO;2023-12-20
67;Mariah Melo;208.951.437-04;1967-05-14;492;4409.59;PR;2024-02-08
68;Pietra Fogaça;013.695.284-42;2000-07-13;509;5621.93;SP;2024-10-25
69;Srta. Eduarda Alves;180.937.524-04;1994-01-12;526;3885.94;RJ;2024-10-28
70;Lucas Nunes;218.704.365-71;1981-03-22;717;4505.14;PE;2022-07-01
71;Lavínia Cassiano;354.016.789-75;1986-05-25;647;6483.14;BA;2021-08-17
72;Marcos Vinicius Farias;842.907.516-01;1985-04-26;427;3600.63;PR;2023-06-10
73;Bernardo Barros;681.953.420-51;2008-06-23;651;5989.82;MG;2023-07-19
74;Sofia Lima;012.948.756-20;1958-12-29;471;2447.54;SP;2022-06-24
75;Sr. Raul Rodrigues;210.746.985-76;1988-07-13;682;5752.98;PE;2022-01-01
76;Pietra Pacheco;638.124.950-15;1999-09-28;650;5546.45;PE;2021-08-06
77;José Vargas;568.310.297-95;1979-02-10;538;4536.25;PR;2024-08-01
78;Arthur Fonseca;395.684.701-66;2000-02-24;655;4525.65;PE;2024-06-01
79;Ágatha Rios;374.851.609-66;1972-12-05;843;7217.83;RS;2021-11-10
80;Asafe Silveira;789.012.465-11;2000-04-07;477;4472.55;BA;2021-11-27
81;Sara Gonçalves;048.952.136-33;1979-05-12;503;4811.08;PE;2023-12-23
82;Igor Santos;592.847.160-20;1995-07-23;759;5251.32;SP;2024-05-11
83;Srta. Laís Martins;528.601.473-90;1987-07-09;735;6292.78;BA;2023-09-28
84;Maria Laura Rodrigues;607.831.925-68;1982-07-16;718;7640.79;SP;2021-08-18
85;Liz Ramos;674.081.295-02;1983-11-21;590;3966.26;BA;2022-09-22
86;Dra. Heloisa da Cruz;024.371.859-41;1979-05-19;513;3288.19;RS;2021-04-29
87;Luísa Vargas;436.780.152-71;1961-05-01;610;5221.15;RS;2024-03-07
88;Maria Vitória Machado;159.326.074-16;1998-11-12;653;6051.18;RJ;2021-06-25
89;Maria Luiza Campos;493.068.512-51;1988-01-16;621;6421.53;GO;2021-05-22
90;Thiago Barros;417.586.930-10;1969-09-30;588;7424.17;PE;2021-09-15
91;Davi Lucas da Costa;134.907.658-93;2002-07-13;695;4702.84;MG;2024-09-13
92;Mathias da Paz;192.457.086-67;1987-11-18;491;4410.47;GO;2024-01-31
93;Sra. Maitê Rocha;405.239.718-50;2000-03-25;593;5458.0;MG;2022-06-27
94;Antonella Rocha;281.046.357-35;1961-10-06;676;5335.17;PE;2024-05-27
95;Davi Lucas Pinto;672.351.940-06;1976-05-09;518;2629.15;SC;2022-03-10
96;Augusto Barros;065.789.413-39;1963-10-20;566;5384.4;PE;2024-11-13
97;Diego Marques;157.349.206-06;1964-08-05;645;3914.26;RS;2024-12-31
98;Aurora Souza;270.349.156-52;1984-10-20;640;5505.32;PR;2023-03-29
99;Benício Teixeira;875.603.194-75;1982-01-31;513;4257.73;BA;2023-06-17
100;Maria Julia Souza;940.852.167-67;1984-03-04;626;3865.03;PE;2023-07-14
101;Kamilly Sá;095.263.147-43;1994-02-06;662;5856.78;RJ;2022-05-23
102;Luiz Henrique Cassiano;089.351.472-14;1982-07-11;749;7045.8;RS;2021-05-12
103;Stephany Pimenta;521.867.049-94;1984-10-10;454;2694.17;BA;2021-02-13
104;Benício Camargo;097.382.154-04;1960-06-10;681;5961.79;CE;2024-02-09
105;Luiz Fernando Lopes;684.905.712-01;1983-10-19;681;9300.73;RS;2024-04-20
106;Yasmin da Costa;985.631.274-46;1975-01-01;688;6639.57;RS;2021-01-15
107;Gabriel Gomes;410.385.726-90;1985-03-13;734;6523.39;RJ;2024-12-20
108;Fernando Vasconcelos;729.513.608-86;1996-06-17;582;5414.97;SP;2022-04-14
109;Arthur Miguel Fernandes;625.034.718-62;2001-08-21;527;3979.18;RJ;2021-03-06
110;Srta. Bárbara Freitas;032.156.984-98;2001-06-29;561;4569.87;BA;2021-05-26
111;Sra. Catarina Freitas;928.405.716-76;1961-08-05;850;4932.73;PE;2022-05-03
112;Murilo Costela;092.657.814-67;1995-01-06;702;4003.28;PR;2024-10-02
113;Isabella Jesus;123.784.096-13;1991-05-16;563;5592.95;GO;2022-03-15
114;Lorena Viana;615.943.027-07;1985-03-30;627;3938.26;PE;2021-09-28
115;Bruna Porto;105.368.497-57;1966-09-18;534;4951.6;CE;2024-03-26
116;Sophia Mendes;427.061.389-04;1989-07-19;532;4472.46;GO;2022-05-13
117;Manuela Nunes;513.642.987-91;1956-07-05;625;4348.4;GO;2023-04-14
118;Sra. Ana Sophia da Cruz;307.156.982-30;1991-06-21;850;7433.92;RS;2021-07-13
119;Rafael Sousa;405.213.967-43;1976-10-06;376;3194.45;RJ;2024-09-11
120;Eloah da Paz;812.057.463-07;2000-04-11;540;5172.43;SC;2022-12-27
121;Rhavi Rocha;765.431.920-70;2006-01-13;524;4077.26;SC;2023-04-22
122;Dra. Ana Luiza Mendonça;475.962.801-02;1979-05-18;680;6305.76;GO;2021-04-21
123;Rhavi Peixoto;340.265.178-53;1958-03-02;475;3465.5;RJ;2021-05-05
124;Srta. Alexia Garcia;053.498.716-84;1969-09-26;563;3850.67;SC;2022-11-26
125;Isaque Cirino;346.975.120-06;2000-10-24;831;7052.98;RJ;2022-05-25
126;Gael Henrique Silveira;928.035.674-74;1972-08-10;468;4661.86;RS;2022-01-25
127;Júlia Silveira;865.240.719-30;1958-11-04;850;7832.47;PE;2023-07-08
128;Davi Miguel Vasconcelos;084.937.561-48;2003-11-20;437;3011.77;MG;2023-05-15
129;Giovanna Barros;092.348.751-41;2008-05-28;772;5468.33;MG;2022-07-25
130;Srta. Larissa Machado;842.137.095-23;2006-05-12;673;6158.63;GO;2022-05-27
131;Srta. Maria Alice Câmara;410.287.635-90;1970-10-06;508;4004.47;RJ;2023-06-27
132;Dra. Manuella Mendonça;219.806.435-98;1962-12-04;300;1375.61;PE;2021-07-20
133;Felipe Macedo;190.245.837-05;1962-04-14;589;3464.22;SP;2024-08-28
134;Sr. Pietro Azevedo;025.793.148-14;1991-10-23;815;5089.86;PE;2021-01-31
135;Marcos Vinicius Farias;074.391.685-93;2007-06-21;567;4666.74;RJ;2022-04-30
136;Luiz Felipe Leão;456.903.178-10;1990-08-14;792;4900.14;MG;2023-04-13
137;Emilly da Costa;643.582.970-56;1995-11-18;759;6082.23;GO;2023-09-13
138;Anna Liz Santos;749.058.132-04;1971-09-25;502;4478.1;RS;2023-04-02
139;Rafael Castro;829.175.630-95;1964-01-07;643;4543.78;SP;2021-12-04
140;Ana Julia Pimenta;325.984.610-70;1989-06-24;628;4638.69;SC;2021-01-05
141;Maria Luísa da Costa;830.961.247-87;1970-06-07;633;5726.13;SC;2022-06-28
142;Pedro Lucas Rezende;912.805.436-98;1992-02-07;810;5242.18;GO;2022-08-08
143;Srta. Fernanda Caldeira;861.572.093-21;1972-03-02;850;4847.91;SC;2024-11-27
144;Stephany Aragão;289.340.156-24;2004-02-24;601;5396.32;PE;2024-09-17
145;Danilo Ribeiro;638.529.407-29;1960-07-14;653;4601.3;GO;2021-11-14
146;Helena Nogueira;281.364.570-26;1988-12-08;595;4267.0;RS;2022-08-31
147;Sr. Benjamim Abreu;348.072.569-47;1987-12-03;549;5241.6;RS;2021-04-30
148;Bento da Cunha;360.579.814-48;1980-01-29;662;4603.09;CE;2024-01-16
149;Nicole Brito;358.901.647-75;1996-04-23;727;6123.3;SP;2022-10-05
150;Maria Clara Nogueira;862.937.540-00;2003-06-21;717;6365.63;SP;2021-04-13
151;Luiz Otávio Gonçalves;298.507.431-23;1984-05-12;520;3599.82;CE;2023-09-04
152;Bento Costela;304.759.612-34;1971-01-01;709;6282.37;PE;2023-12-24
153;Bianca Ferreira;058.394.617-84;2002-01-22;617;5053.33;MG;2021-04-27
154;Fernando Porto;672.914.083-69;2000-11-26;773;5592.43;PE;2021-06-14
155;Raquel Cunha;914.875.360-20;1993-05-27;685;5277.81;MG;2021-05-21
156;Clarice Nunes;401.295.867-49;1993-01-21;593;5842.78;CE;2021-05-20
157;Benicio Cavalcanti;780.521.349-60;1974-08-29;719;6565.51;RS;2023-04-07
158;João Felipe Martins;431.287.650-90;1978-09-18;776;6229.0;RJ;2024-03-12
159;Dra. Ana Carolina Albuquerque;378.249.015-05;1993-03-17;701;5297.73;RS;2024-03-31
160;Pedro Henrique Pimenta;286.357.104-44;1970-03-02;658;5133.86;CE;2021-03-23
161;Dr. Vitor Hugo Pacheco;947.251.630-07;1987-09-09;631;5643.16;CE;2021-06-17
162;Benjamin Castro;671.984.035-57;1975-05-28;521;6260.39;SC;2024-09-08
163;Sr. Davi da Paz;325.719.680-68;1971-11-18;499;2777.81;CE;2024-03-03
164;Dr. Cauê Farias;073.582.491-60;2005-10-29;758;6855.66;PE;2022-10-10
165;Maria Isis Lopes;951.638.042-51;1981-01-02;694;6180.35;PR;2022-02-23
166;Paulo da Rocha;346.720.198-96;1957-10-18;618;4046.75;BA;2022-05-04
167;Heitor Gonçalves;482.907.356-00;1994-07-18;629;4354.84;PR;2023-03-22
168;Valentim Pacheco;563.478.912-55;1988-10-08;737;5748.94;MG;2024-10-07
169;Yan Melo;954.680.372-38;2000-12-30;520;3838.61;PR;2023-07-26
170;Rael Mendonça;504.167.839-10;1996-06-20;669;4788.28;BA;2021-05-29
171;Francisco Siqueira;732.148.059-32;1989-03-28;521;4411.69;SP;2023-07-28
172;Eduarda Moraes;694.387.150-10;1970-08-31;649;4685.06;CE;2024-02-28
173;Luiz Miguel Pires;509.487.613-93;1970-11-17;563;4736.05;RJ;2021-05-31
174;Alícia Teixeira;098.653.274-65;2008-07-04;446;2160.54;PE;2022-03-13
175;Enzo Gabriel Pastor;963.045.821-70;1994-12-24;533;4050.55;PE;2022-06-28
176;Davi Luiz Garcia;309.617.258-77;1972-01-24;657;6731.36;MG;2022-12-16
177;Srta. Stephany Cunha;026.394.751-34;1964-08-06;722;5616.06;RJ;2022-05-16
178;Sra. Vitória Campos;670.284.319-40;1969-11-11;617;3933.47;BA;2022-08-07
179;Otto Cavalcante;378.695.421-64;1994-10-01;617;4647.34;MG;2023-06-17
180;Gabrielly Casa Grande;402.795.163-80;1982-10-09;658;4436.77;PE;2024-12-11
181;Dra. Esther Duarte;172.409.856-01;2006-06-12;682;6988.74;PR;2024-06-06
182;Dr. Emanuel Montenegro;369.028.175-02;1960-05-23;606;5249.71;PE;2021-01-17
183;Ravi Guerra;206.759.813-95;2003-10-01;702;5214.78;PE;2022-09-06
184;Caroline Câmara;827.153.690-77;1959-12-16;646;5180.59;RJ;2021-10-03
185;Rael Costela;754.326.189-82;1968-12-21;631;4274.99;PR;2021-08-25
186;Sr. Caio das Neves;673.820.159-12;1977-05-30;622;5474.0;RJ;2024-02-08
187;Sra. Laís Machado;524.608.391-89;1999-03-14;794;7311.27;MG;2022-07-12
188;Agatha Rocha;971.408.365-66;2002-07-02;850;6032.65;PR;2024-05-23
189;Antônio Silva;840.529.673-56;1978-04-11;724;5975.34;RS;2022-12-04
190;Sabrina Gonçalves;169.470.583-84;1998-11-28;850;5991.7;RS;2024-11-08
191;Vinícius da Paz;468.072.915-58;1956-05-17;519;3552.61;PR;2023-11-02
192;Dra. Sofia Cavalcante;519.476.302-61;1994-08-11;365;2394.24;GO;2022-05-30
193;Dom Monteiro;712.965.843-64;1990-05-21;528;4374.39;SP;2021-07-09
194;Alexandre Silveira;051.928.673-12;2003-10-04;661;7164.17;SC;2022-07-21
195;Dra. Aylla Costa;653.209.178-21;1991-07-03;734;5295.1;SP;2021-01-08
196;Ana Júlia Macedo;680.732.941-50;1955-08-16;512;4587.92;BA;2021-09-25
197;Anthony Gabriel Moraes;938.706.214-78;1956-10-23;461;5519.46;PR;2021-11-27
198;Julia Azevedo;857.214.306-80;2005-09-02;761;5618.82;GO;2024-02-04
199;Yuri Costa;601.548.372-53;2004-09-28;414;4665.87;SC;2024-02-23
200;Antonella Moreira;765.124.938-00;2005-12-14;606;6085.82;SP;2021-08-18
201;Noah Martins;056.832.491-98;1979-09-30;428;2824.62;RJ;2024-11-16
202;Kaique Jesus;753.190.864-66;1960-06-28;620;5006.98;MG;2024-01-23
203;José Azevedo;902.184.675-67;1983-10-24;565;5142.85;SP;2023-01-27
204;Dr. Asafe Aparecida;083.527.196-02;1975-02-17;491;3785.62;CE;2024-02-06
205;Ana Luiza Souza;942.601.753-43;1979-12-16;634;5586.44;MG;2023-05-31
206;Dr. José Miguel Pinto;742.960.158-85;1975-04-05;705;4515.36;MG;2021-03-27
207;Marcela Sales;426.159.703-99;1995-03-08;435;4757.68;PR;2023-01-17
208;Enzo da Mota;458.721.630-53;1991-12-02;659;4523.51;SP;2023-01-03
209;Marcos Vinicius Vieira;184.067.329-03;1958-05-25;806;6563.67;RS;2024-10-28
210;Gael Henrique Guerra;132.487.960-22;1979-03-04;761;6155.52;RS;2024-09-27
211;Heloísa Dias;968.427.135-28;1977-06-27;850;8555.34;RJ;2022-12-26
212;Sra. Melina Aragão;521.369.407-16;1983-05-23;590;5691.57;PE;2023-04-13
213;Sra. Maria Eduarda Garcia;621.045.793-25;1961-02-26;697;6944.63;CE;2021-11-13
214;Caroline Pinto;627.403.581-80;2006-08-04;504;4718.05;RS;2021-11-29
215;Lucas Gabriel da Costa;042.169.758-01;1963-01-15;747;4217.26;MG;2023-04-25
216;Valentina Fonseca;853.419.620-60;1960-04-09;478;1784.77;SP;2022-01-03
217;Dra. Laura Jesus;364.195.872-55;1993-05-31;587;5413.54;BA;2023-04-24
218;André Fogaça;045.963.782-74;1990-01-11;800;6474.09;RS;2022-07-01
219;Srta. Emanuelly Aparecida;106.257.384-62;1980-08-01;815;5139.9;MG;2024-12-07
220;Stella Pimenta;936.071.825-40;2006-06-09;415;3264.45;RJ;2023-02-23
221;Esther Jesus;892.175.360-59;1977-12-13;666;5295.31;SP;2023-08-22
222;Dr. Otávio Santos;045.793.816-10;1982-10-28;371;2878.88;RS;2022-02-13
223;Vicente Machado;169.547.320-52;1965-06-08;463;4373.67;GO;2022-12-18
224;Sra. Luna Souza;165.902.837-02;2005-02-04;663;4364.12;PR;2022-04-12
225;Dra. Carolina Mendonça;109.647.835-84;1998-02-15;558;3404.79;RS;2021-02-18
226;Gabriela da Rocha;053.974.628-29;1986-04-26;612;5851.14;RS;2023-03-28
227;Enrico Moreira;619.538.724-09;1993-05-07;501;4512.05;BA;2022-07-25
228;Ana Laura da Conceição;485.063.172-07;1999-10-09;556;3655.13;RJ;2022-07-26
229;Anthony Nunes;192.754.360-61;1965-08-29;607;3820.76;BA;2024-08-06
230;Nicolas Gomes;893.251.640-51;1973-05-10;553;3226.12;PE;2023-03-30
231;Bernardo Gomes;258.341.760-62;1995-02-16;850;6835.26;PE;2022-11-10
232;Igor Moraes;013.642.958-06;1959-06-28;536;4501.98;SP;2021-08-25
233;Isis Nascimento;734.059.682-83;1986-12-19;606;4627.03;PR;2022-01-01
234;Ana Carolina Nascimento;583.219.064-51;1981-07-28;693;6301.51;CE;2022-06-28
235;Heloisa Cavalcante;592.860.731-86;1986-02-10;556;3872.18;SP;2021-08-11
236;Stella Monteiro;036.279.184-87;1960-04-08;586;2386.08;CE;2023-06-09
237;Daniel Siqueira;325.840.917-04;1979-04-22;438;4870.87;BA;2022-10-05
238;João Guilherme Nascimento;309.256.174-07;1961-03-20;817;6286.96;SC;2024-05-26
239;Theodoro Machado;649.501.278-02;1983-07-15;689;5823.25;PE;2021-08-25
240;Sr. Samuel Pacheco;458.609.713-20;1962-09-18;850;7919.57;SC;2024-03-26
241;Dra. Lunna Jesus;906.812.457-94;1999-09-19;604;3876.46;RS;2022-06-06
242;Yasmin Camargo;435.791.680-10;2001-12-16;427;3619.46;SP;2024-12-22
243;Gustavo Azevedo;934.768.152-00;1972-11-20;529;2809.75;SC;2021-01-04
244;Henry Gabriel Casa Grande;493.715.802-32;1980-03-06;542;3254.45;PE;2024-01-08
245;Isabelly Duarte;642.318.957-91;2005-02-21;822;7457.64;RS;2023-01-16
246;Gabrielly Cirino;920.341.578-50;1975-02-17;619;6431.94;SC;2021-05-24
247;Maria Luísa Farias;703.564.182-35;1956-04-09;629;4170.72;BA;2024-06-30
248;Maysa Novais;563.497.028-83;2000-01-04;802;6954.91;BA;2024-09-20
249;Luiz Miguel Lima;978.063.214-03;1968-10-26;495;3769.66;RJ;2022-09-08
250;Brenda Leão;985.142.603-24;1981-07-12;514;2729.2;PE;2022-09-26
251;Luna Souza;642.358.971-28;1995-10-18;731;7757.42;SC;2022-10-31
252;Srta. Bruna Barros;856.309.127-12;1971-04-24;452;4178.97;SC;2024-11-28
253;Luiz Felipe Cunha;536.789.140-39;1993-11-14;541;3840.87;PR;2024-02-10
254;Bento Pires;634.729.851-19;1971-12-18;548;3520.01;MG;2022-01-28
255;Sophie Marques;716.349.025-99;2005-09-29;625;4169.05;SC;2024-09-23
256;Marina Andrade;125.396.740-70;1977-02-08;652;5165.76;SC;2024-10-19
257;Sra. Eloah Mendes;457.620.381-90;1979-09-05;591;3820.44;MG;2024-06-14
258;Stella Casa Grande;974.806.521-94;1969-06-04;550;5155.39;CE;2022-09-09
259;Luiz Henrique Jesus;530.962.174-16;1965-04-09;680;4462.44;SC;2024-01-28
260;Luigi da Luz;281.963.457-55;1989-09-06;631;5799.39;SP;2022-09-15
261;Laura Novais;605.294.817-58;1998-10-29;419;3895.36;PR;2022-03-07
262;Caroline da Paz;491.637.508-48;1957-02-04;540;4890.6;SC;2024-04-02
263;Ana Sophia Souza;947.318.026-87;1983-07-27;528;2419.12;CE;2024-09-02
264;Rhavi Araújo;752.398.160-77;1956-02-20;424;3440.08;BA;2023-08-11
265;Isabela Vieira;489.713.625-37;1961-07-02;651;4303.68;GO;2023-06-25
266;Davi Casa Grande;291.068.745-76;2007-07-26;696;3906.48;RS;2023-11-13
267;Isabelly Peixoto;265.083.719-59;2008-06-19;612;3684.98;GO;2021-12-14
268;Henry Gabriel da Luz;635.290.184-06;1960-02-15;541;4375.4;RJ;2022-08-05
269;Apollo Nogueira;351.670.284-26;1986-02-20;516;3743.44;PE;2024-09-21
270;Ísis Nascimento;843.256.971-28;1965-12-13;740;5343.11;CE;2022-11-18
271;Rebeca Duarte;438.120.679-78;2002-02-21;720;4630.29;RJ;2022-04-27
272;Luiz Felipe Silveira;654.973.210-70;1977-01-03;683;6905.57;PR;2022-04-06
273;Enzo Camargo;412.795.086-20;1981-01-21;323;1787.1;RS;2021-10-29
274;Marcelo Moreira;920.658.734-00;1968-07-05;689;5308.95;SP;2021-04-05
275;Dr. Vitor Montenegro;614.809.257-30;1967-04-26;664;4708.01;RS;2023-09-01
276;Rafael Farias;517.320.968-21;1983-02-18;630;4884.32;CE;2021-05-30
277;Vicente Barbosa;578.623.904-74;1981-06-21;760;6334.42;GO;2023-04-29
278;Sr. Daniel da Conceição;294.507.816-30;1960-10-06;660;4868.12;CE;2022-02-03
279;Heitor da Conceição;710.349.865-20;1970-05-19;561;4055.44;SC;2023-10-10
280;Bryan Rodrigues;726.385.941-64;1965-05-14;667;4915.02;SC;2022-05-15
281;Rhavi Rios;564.723.018-08;1972-02-13;654;7307.4;MG;2024-09-05
282;Pedro da Rocha;179.853.406-10;1978-11-01;724;5465.98;SP;2021-08-07
283;Francisco Cunha;651.893.240-60;1990-12-20;764;5703.92;SC;2022-03-25
284;Rodrigo Costa;271.863.459-64;2001-08-30;375;1991.91;MG;2024-11-26
285;Lorenzo Nascimento;537.892.461-82;1969-04-23;395;2808.49;PE;2023-08-10
286;Lucca Lima;718.023.954-23;1984-03-25;622;6652.44;SP;2024-02-16
287;Sr. Renan Pacheco;630.514.297-16;2002-03-03;659;5052.9;RS;2021-09-06
288;Théo Correia;862.753.149-82;1979-06-08;719;3540.86;GO;2021-10-01
289;Ana Cecília da Cruz;471.356.208-44;1973-10-11;648;5954.87;GO;2024-09-29
290;Maya Viana;378.514.026-62;1991-08-19;442;4679.75;PE;2024-02-19
291;Lívia Nunes;167.523.409-43;1996-06-12;660;4864.71;CE;2022-10-12
292;Pietra Rodrigues;289.346.705-92;2001-03-05;695;7830.69;GO;2024-06-08
293;Sr. Lucas Gabriel Rios;738.945.602-74;1974-05-04;641;5376.22;PE;2023-05-24
294;Bella Pires;804.162.397-22;2004-06-07;564;3662.16;PE;2023-07-03
295;João Vitor Sousa;507.193.246-61;1995-02-02;719;4895.92;MG;2023-08-31
296;Matheus Abreu;894.765.203-29;1998-07-09;628;4546.34;GO;2022-06-15
297;Dra. Yasmin Cunha;247.850.691-20;1990-05-23;677;5749.66;RS;2024-07-29
298;Camila Nunes;694.032.517-43;1985-07-18;744;5441.98;PR;2023-12-04
299;Ester Silveira;897.542.601-76;2000-10-08;587;3717.24;GO;2024-07-07
300;Srta. Sophie Farias;496.715.308-93;1996-08-19;566;4905.3;RS;2022-07-17
301;Valentim Novais;793.521.680-03;1970-08-08;710;4757.83;GO;2021-06-08
302;Mariane Costela;098.621.437-03;2002-07-01;724;7147.64;PR;2022-04-26
303;Maysa Garcia;603.259.418-15;1980-04-03;669;7228.8;PR;2022-11-19
304;Dr. Vicente Gonçalves;195.468.370-75;2005-03-27;527;2971.35;BA;2024-01-12
305;Srta. Clarice Souza;207.156.943-16;2002-01-23;406;4744.04;RJ;2021-10-11
306;Beatriz Cavalcante;134.092.576-16;1980-12-21;698;5528.42;MG;2022-04-19
307;Sra. Natália Leão;918.032.745-14;1972-04-21;653;4098.51;SC;2024-11-22
308;Matteo Rocha;279.643.510-52;1965-05-12;850;6929.22;MG;2024-12-17
309;Lívia Pereira;263.794.015-80;1955-09-20;633;5789.77;RS;2021-05-12
310;Anthony Dias;915.270.436-06;1992-05-04;677;5639.88;SC;2023-04-15
311;Bruno Pastor;162.309.458-51;1989-12-08;525;4671.47;BA;2024-01-17
